item,name,gender,dob,dobPrecision,psid
Q16205383,Abel Herrero,male,1969-10-29T00:00:00Z,11,Q16205383-2053B92F-A0ED-40BF-B866-BA1F77E71230
Q84196020,Alex Dominguez,male,1970-12-06T00:00:00Z,11,Q84196020-5C2559BA-5AA0-4579-98F4-43F1DE45DA66
Q20675849,Alma A. Allen,female,1939-04-07T00:00:00Z,11,Q20675849-B3169103-8453-4D83-B2E5-712D06E251BC
Q4750367,Ana Hernandez,female,1978-08-25T00:00:00Z,11,Q4750367-19ED1F22-BA56-43FE-A4C4-735285DDA712
Q99869264,Ana-Maria Ramos,female,1966-06-16T00:00:00Z,11,Q99869264-9FDC06B7-D8EB-4BEA-95E7-3065A71EA8E7
Q18630753,Andrew Murr,male,1977-04-23T00:00:00Z,11,Q18630753-64CE4A64-2909-40C2-95B2-5D1044651C6A
Q16186167,Angie Chen Button,female,1954-02-09T00:00:00Z,11,Q16186167-B74B99D2-A1D6-4325-BD31-974F6F355B3A
Q101168868,Ann Johnson,female,1974-08-13T00:00:00Z,11,Q101168868-2C25903B-7D56-4CFB-8126-ABF6613436C7
Q16732068,"Armando ""Mando"" Martinez",male,1976-01-06T00:00:00Z,11,Q16732068-372D390D-2DA3-4942-8407-30DF9D9BC0DC
Q4792849,Armando Walle,male,1978-03-07T00:00:00Z,11,Q4792849-1FDFB22C-F010-4633-B4F2-4AD963E7AACC
Q79686165,Art Fierro,male,,,Q79686165-43CDB5FB-A94A-497F-AEA5-1E0E8A210446
Q28228796,Barbara Gervin-Hawkins,female,1954-04-03T00:00:00Z,11,Q28228796-493A16DF-96EC-4464-B3A6-ED63F9892B62
Q62081676,Ben Leman,male,1961-09-08T00:00:00Z,11,Q62081676-400FAD50-0F57-4099-A7B6-E8F600C1D3EC
Q28069583,Bobby Guerra,male,1953-01-01T00:00:00Z,9,Q28069583-BA9FA217-6F82-4E0F-95D8-E262420B63E3
Q86259391,Brad Buckley,male,1966-09-14T00:00:00Z,11,Q86259391-86ADE09A-382C-494F-8619-8203A1AC5B8F
Q28314483,Briscoe Cain,male,1984-12-01T00:00:00Z,10,Q28314483-15FEBFE1-7175-411B-85BF-5438119E3207
Q16731214,Brooks Landgraf,male,1981-03-15T00:00:00Z,11,Q16731214-E2A0C9BF-E977-450F-AB51-F49BF50D9792
Q102027445,Bryan Slaton,male,1978-02-02T00:00:00Z,11,Q102027445-EC538A8C-37E8-474A-BB65-ACCDF45188CF
